ID,proper,dist,absmag,ci,rarad,decrad,H_1,H_2,b,l,cos(l-33deg),sin(l/33deg),rad
42388,,30.2847,7.494,1.361,2.268947499,-0.1130248735,,,0.3673424453,3.375620064,-0.9420949985,-0.3129735164,-2.820853309
42406,,14.59,9.13,0.47,2.26979701,0.7205662469,,,0.6620278197,3.148979334,-0.8426484627,0.4247121009,2.674733819
42482,,27.248,8.353,1.36,2.273132304,-0.8070725484,,,-0.0437792513,2.804417064,-0.6112355189,-0.7906904272,-2.228880862
42581,,22.8676,6.314,0.904,2.278205455,-0.7492600364,,,-0.005009100702,2.847469795,-0.6447326379,-0.7643985639,-2.271475978
42629,,15.4321,8.678,1.4,2.280892965,0.1667958553,,,0.5160686189,3.63868363,-0.9968882981,-0.0685611751,-3.0729256
42644,,14.9343,10.959,1.55,2.281452719,0.166733035,,,0.5165364521,3.638339105,-0.9968610811,-0.06884160935,-3.072643744
42688,,11.1408,6.345,0.917,2.283332833,-0.6786255406,,,0.04212581788,2.900233448,-0.6841496321,-0.7286946329,-2.324676332
42763,,18.5563,9.308,1.432,2.288059614,-0.7761921282,,,-0.01631036344,2.822005291,-0.6250604426,-0.7804725279,-2.246070193
42794,,24.6975,-0.033,0.043,2.289451211,-0.9548490567,,,-0.127436335,2.681675957,-0.5097374855,-0.8533535537,-2.109253567
42797,,25.2717,5.187,0.743,2.28965176,-0.7441135017,,,0.004763197621,2.846219244,-0.643776203,-0.765205146,-2.270224833
42821,,26.6028,6.395,0.94,2.291504825,0.7273107339,,,0.6787906984,3.142107725,-0.8389284826,0.4236010111,2.674008018
43057,,29.146,4.027,0.578,2.302408779,-0.7284444415,,,0.0219970817,2.852372713,-0.6484727042,-0.7610537443,-2.276492155
43114,,25.2845,8.336,1.296,2.305736692,0.1128941513,,,0.5135180962,3.570671961,-0.9892265553,-0.127511211,-3.013399612
43287,,28.3527,3.957,0.549,2.314905126,0.5809337563,,,0.678911182,3.331793979,-0.9264981877,0.2928574693,2.835439886
43302,,23.0947,7.262,0.746,2.315633253,0.1372623145,,,0.5334940929,3.590375433,-0.9919187973,-0.1092433064,-3.031901406
43387,,18.3385,10.223,1.481,2.320111323,0.3163404266,,,0.6111831728,3.652608016,-0.9978892414,0.05318299493,3.088347539
43411,,16.5399,8.167,1.319,2.321307174,1.154212276,,,0.6488651439,2.598383333,-0.4363940012,0.7168984063,2.1176066
43434,,24.0154,4.668,0.64,2.322479803,0.1407245069,,,0.5411073569,3.590352013,-0.9919158256,-0.1087688397,-3.032373706
43464,,12.3411,5.503,0.869,2.323894965,0.4944660655,,,0.6684159704,3.442079522,-0.9622857316,0.2134987633,2.923262918
43527,,27.4725,10.086,0.45,2.327778503,-0.8448360266,,,-0.03910383684,2.751689432,-0.5686741515,-0.8219340764,-2.176047207
43544,,25.5037,7.237,1.139,2.329089588,0.6147428624,,,0.6959098024,3.291050161,-0.9104016475,0.3175222709,2.806012565
43602,,17.3853,4.809,0.661,2.331319808,-0.0948492107,,,0.4292486908,3.355426208,-0.9351314451,-0.3221583266,-2.80982069
43666,,19.7941,8.507,1.372,2.334932184,0.02699165854,,,0.4969988483,3.468738964,-0.9691953869,-0.2164959489,-2.921823551
43673,,24.1546,3.785,0.481,2.335233906,-0.9593336298,,,-0.1099161241,2.6613275,-0.492126778,-0.8652701939,-2.087924684
43727,,26.0213,5.613,0.771,2.338427587,0.6317426872,,,0.7057080713,3.270343194,-0.9016400848,0.3291886982,2.791529652
43822,,17.0097,9.447,1.511,2.343445368,0.2032782095,,,0.5872900585,3.645955512,-0.9974351571,-0.05958301119,-3.081927331
43843,,28.2885,9.292,1.447,2.344137027,-0.341812382,,,0.2943190531,3.133564468,-0.8342483273,-0.5276791297,-2.577603642
43945,,20.8986,7.619,1.116,2.350242571,0.3586083206,,,0.6525073907,3.61569089,-0.9948125065,0.08082740382,3.060521852
43948,,21.0349,4.185,0.521,2.350662324,-0.2815692038,,,0.3361631008,3.179620775,-0.8587496467,-0.4837152339,-2.628611989
44000,,14.5096,2.312,0.223,2.35274611,0.8384880495,,,0.7228113756,2.996920457,-0.7513623232,0.4948837472,2.559161576
44016,,26.4201,3.06,0.417,2.35359679,-1.031205309,,,-0.1491497221,2.599768158,-0.4376395861,-0.8891679214,-2.028176462
44120,,16.0694,2.93,0.463,2.358991941,0.7292493665,,,0.7291869203,3.142921889,-0.8393713065,0.405340451,2.691710615
44135,,20.9424,10.765,1.455,2.359854602,0.09148221715,,,0.5506607221,3.519067057,-0.9803584312,-0.1680702349,-2.97180567
44167,,15.9744,7.653,1.285,2.361828925,0.2664379114,,,0.6294499467,3.707281561,-0.9999468412,-0.008334838741,-3.133257565
44248,,19.5122,10.288,1.427,2.366366748,0.1478030264,,,0.582962712,3.574298064,-0.9897508857,-0.1192184162,-3.021717229
44330,,30.525,4.617,0.609,2.37125489,0.6604496547,,,0.7347648868,3.235988211,-0.8862528834,0.3436902962,2.771646156
44398,,28.2965,6.511,0.96,2.375152842,-0.2777560368,,,0.3571066173,3.167498016,-0.8524750523,-0.4897876142,-2.620098326
44594,,14.5582,8.684,1.418,2.385672293,-0.1537082711,,,0.4400800806,3.268223881,-0.900721485,-0.3930066449,-2.73016948
44769,,19.1902,4.535,0.585,2.394816678,0.5913562426,,,0.7462886975,3.331857285,-0.9265220076,0.2762409431,2.851835549
44771,,22.553,8.544,1.316,2.394888225,-0.6081199835,,,0.1557190708,2.895534215,-0.6807147439,-0.7236849468,-2.325607185
44773,,28.8184,2.162,0.288,2.394904817,0.9006710212,,,0.7430834797,2.909763149,-0.6910688698,0.5322515653,2.485297181
44792,,30.5717,7.833,1.24,2.395702923,0.4787794592,,,0.7264058367,3.481484382,-0.972255691,0.1748712249,2.963634014
44827,,20.4332,8.408,1.38,2.397693135,0.5728050042,,,0.7460476153,3.357330498,-0.9358044409,0.258882352,2.871700987
44837,,30.4785,9.21,,2.398124703,-0.7349255049,,,0.07114223416,2.80037951,-0.6080350289,-0.7919019699,-2.225602533
44910,,20.3791,3.254,0.489,2.401539135,1.171709653,,,0.6730511545,2.564085348,-0.4052835931,0.7148272506,2.086572778
44987,,24.7341,8.974,1.402,2.406438689,0.8136213923,,,0.7609357431,3.026916523,-0.7708154564,0.4613520575,2.60225867
45040,,20.3625,4.946,0.731,2.409831329,0.2617302207,,,0.6702130531,3.678974773,-0.9992544223,-0.03025690006,-3.111322427
45201,,19.5695,3.722,0.605,2.418775163,1.072039128,,,0.7149134735,2.682206496,-0.5101938523,0.6494738542,2.236663661
45211,,5.8113,8.819,1.41,2.418980869,0.9195550724,,,0.75436802,2.880884769,-0.6699106554,0.5410206153,2.462234019
45214,,6.3918,8.672,1.42,2.419119881,0.9195507331,,,0.7544515497,2.880868394,-0.6698984982,0.540986136,2.4622563
